image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
19,kodim18.png,guetzli,95,0.9634500408563135,35.6096532160086,0.9955600253646641,23.526195109135646,107456,3.279296875,0.0158271174877882
19,kodim18.png,guetzli,93,0.9525072053788589,34.401620914912016,0.993892309264178,22.14122961649403,90939,2.775238037109375,0.021745065227150917
19,kodim18.png,guetzli,91,0.9420004944636436,33.473052298263944,0.9922094269971162,21.084305984457053,79698,2.43218994140625,0.028536081314086914
19,kodim18.png,guetzli,89,0.9323283186550175,32.753879939716654,0.9905498252342841,20.245601598416158,72383,2.208953857421875,0.034953773021698
19,kodim18.png,guetzli,87,0.9211506465036697,32.073311046126186,0.9884319668798747,19.367404766308823,62810,1.91680908203125,0.04441526532173157
19,kodim18.png,guetzli,85,0.9124633946675548,31.588640771035532,0.986837763487843,18.80670309630703,58630,1.78924560546875,0.052768416702747345
20,kodim17.png,guetzli,99,0.9900009813145426,42.77784753176937,0.998843724591984,29.36938710953534,180645,5.512847900390625,0.003865298815071583
20,kodim17.png,guetzli,97,0.9805021180448089,40.048020395135936,0.9977640158182398,26.505312731463317,130947,3.996185302734375,0.008875199593603611
20,kodim17.png,guetzli,95,0.9712797698623991,38.35057199310445,0.9965268776275146,24.592799144263886,91632,2.79638671875,0.01353004202246666
20,kodim17.png,guetzli,93,0.9626222343502978,37.16620099127133,0.995248189843538,23.23140918542002,74244,2.2657470703125,0.019361592829227448
20,kodim17.png,guetzli,91,0.9548106367227195,36.23182721686006,0.9939772012999785,22.202016520096976,62919,1.920135498046875,0.025432636961340904
20,kodim17.png,guetzli,89,0.9466732795090422,35.447920489774376,0.9925301193020561,21.26686334280774,54445,1.661529541015625,0.03045494481921196
20,kodim17.png,guetzli,87,0.9385088794741697,34.7399377973556,0.99106046893594,20.486852621473226,47596,1.4525146484375,0.034671470522880554
20,kodim17.png,guetzli,85,0.9328350740897671,34.32237592760831,0.989981975933799,19.99217929343875,45315,1.382904052734375,0.040179818868637085
21,kodim15.png,guetzli,99,0.98602521172689,42.60317059544189,0.9983403577343467,27.799855136440605,178627,5.451263427734375,0.0023968566674739122
21,kodim15.png,guetzli,97,0.9729666269469841,39.617311130582024,0.9966581943810026,24.760188150805437,135688,4.140869140625,0.006058103404939175
21,kodim15.png,guetzli,95,0.9605562353518907,37.8979003690676,0.9948313903039044,22.86626262034649,105226,3.21124267578125,0.010817809030413628
21,kodim15.png,guetzli,93,0.9490566620402129,36.72250776174487,0.9929271090590748,21.504030383857465,79965,2.440338134765625,0.01659253053367138
21,kodim15.png,guetzli,91,0.9388464141578049,35.86567124077465,0.9910836991142821,20.49815284426643,68783,2.099090576171875,0.022527214139699936
21,kodim15.png,guetzli,89,0.9292685540531619,35.16803961123792,0.9892770972090205,19.69687631112276,60493,1.846099853515625,0.029163073748350143
21,kodim15.png,guetzli,87,0.9191929645156415,34.56679350990949,0.987372978814539,18.986990908777585,53791,1.641571044921875,0.040185876190662384
21,kodim15.png,guetzli,85,0.9119244924145761,34.16490207995335,0.9857695848035654,18.46782428454724,48827,1.490081787109375,0.04587889462709427
22,kodim11.png,guetzli,99,0.9896006432597565,42.02545897926755,0.9986476562354027,28.689128970846824,185029,5.646636962890625,0.0030494271777570248
22,kodim11.png,guetzli,97,0.9783163102509516,38.83214355820277,0.9971796611001758,25.496987025032226,137353,4.191680908203125,0.00767273735255003
22,kodim11.png,guetzli,95,0.96692479681318,36.94717865458968,0.9955380330532132,23.504736511927614,98992,3.02099609375,0.01400655135512352
22,kodim11.png,guetzli,93,0.9560486275389949,35.62809443888617,0.9937919860815069,22.07047318051739,77081,2.352325439453125,0.021889422088861465
22,kodim11.png,guetzli,91,0.9459111053169597,34.589694831011485,0.9921153197483166,21.032159139704806,68050,2.07672119140625,0.02885516732931137
22,kodim11.png,guetzli,89,0.935717345811732,33.7503873929914,0.9904208159431496,20.18671482017378,61193,1.867462158203125,0.035593412816524506
22,kodim11.png,guetzli,87,0.9263786906742806,33.05562261839485,0.9886706915345609,19.457965984163582,55502,1.69378662109375,0.04143039882183075
22,kodim11.png,guetzli,85,0.9181809581901769,32.52502257931665,0.9871778360675824,18.92038674926217,52547,1.603607177734375,0.04715578258037567
23,kodim03.png,guetzli,99,0.9886633033263773,44.49687398164983,0.9985521317866983,28.392709663436765,165744,5.05810546875,0.0033444883301854134
23,kodim03.png,guetzli,97,0.9801516358512127,41.91326171731737,0.9974933741526527,26.00910486368514,120923,3.690277099609375,0.005813769996166229
23,kodim03.png,guetzli,95,0.9712456049280164,40.35304699922123,0.9962627692717421,24.27450088953683,87342,2.66546630859375,0.011385872028768063
23,kodim03.png,guetzli,93,0.9637000139271352,39.22391810614191,0.9950611944482992,23.0637807233729,63161,1.927520751953125,0.02174770087003708
23,kodim03.png,guetzli,91,0.9570684892389139,38.39797486433564,0.9939033930905965,22.14911806057379,46840,1.429443359375,0.03302759304642677
23,kodim03.png,guetzli,89,0.951011773683193,37.677630139094596,0.9928706716386604,21.469513821682327,42021,1.282379150390625,0.038703564554452896
23,kodim03.png,guetzli,87,0.944790249600941,37.02993251607724,0.991651024543746,20.783668156535782,35879,1.094940185546875,0.044056493788957596
23,kodim03.png,guetzli,85,0.9394850179813582,36.59901399092288,0.9905982049835702,20.267892217931482,32520,0.992431640625,0.04895533621311188
